iter	MultiClass
0	2.276269094
1	2.085514646
2	1.931846215
3	1.79421532
4	1.678319853
5	1.557726022
6	1.479505442
7	1.402873369
8	1.339521988
9	1.283459829
10	1.214222135
11	1.163200733
12	1.119610265
13	1.066285376
14	1.030510281
15	0.9847896393
16	0.9503560621
17	0.9136706104
18	0.8805569872
19	0.8452814196
20	0.8177234123
21	0.7919698386
22	0.7647306334
23	0.7304829104
24	0.6996439058
25	0.6683632933
26	0.6494199352
27	0.6258784621
28	0.6055982467
29	0.5885441906
30	0.5671234218
31	0.5477903713
32	0.5289241918
33	0.512458573
34	0.4953070078
35	0.4810252464
36	0.4693170577
37	0.4528700087
38	0.4408223607
39	0.4297533096
40	0.4175432589
41	0.4074508489
42	0.3961049064
43	0.3878588724
44	0.3785466546
45	0.36821506
46	0.3589306663
47	0.3512310663
48	0.3442375508
49	0.3376960932
50	0.3298954691
51	0.3216330927
52	0.3159163745
53	0.306286767
54	0.2998678216
55	0.293298733
56	0.2869403184
57	0.2803339474
58	0.2735537454
59	0.2672791628
60	0.2624782727
61	0.2570628478
62	0.2511986139
63	0.2461161186
64	0.2417751559
65	0.2370807621
66	0.2319727009
67	0.2280766692
68	0.2234848941
69	0.2198204312
70	0.2158502421
71	0.2110855617
72	0.2073273122
73	0.2029779871
74	0.1997126189
75	0.1967153599
76	0.1940619106
77	0.1903300628
78	0.1873011559
79	0.1844899384
80	0.1811050411
81	0.1771437356
82	0.1739747331
83	0.170846218
84	0.1682348684
85	0.1655503996
86	0.163532377
87	0.1608918147
88	0.1590256298
89	0.1566345172
90	0.1553717117
91	0.1529148827
92	0.1512787332
93	0.1493145437
94	0.1473196822
95	0.1457074928
96	0.1442777129
97	0.1424135127
98	0.1402370732
99	0.1386484925
100	0.1369228246
101	0.1353158275
102	0.1336091236
103	0.1317657169
104	0.1306922179
105	0.1285288418
106	0.1271378949
107	0.1258505418
108	0.1246214234
109	0.1230405348
110	0.1215804513
111	0.120550979
112	0.1194126066
113	0.1177031983
114	0.1166843006
115	0.1152308207
116	0.1143408916
117	0.1131751629
118	0.1119542062
119	0.1112505347
120	0.1101349272
121	0.1091467346
122	0.107976366
123	0.1068173573
124	0.1058115095
125	0.1048021324
126	0.103528026
127	0.1026274716
128	0.1016101775
129	0.1004807732
130	0.09958876278
131	0.09904174694
132	0.09802636096
133	0.09740502798
134	0.09683842307
135	0.09588992086
136	0.09513712646
137	0.0944332676
138	0.09356012957
139	0.0930097153
140	0.0921914825
141	0.09161571898
142	0.09093689567
143	0.09023138485
144	0.08950348942
145	0.08887393701
146	0.0880187695
147	0.08726598672
148	0.08653396315
149	0.0860631603
150	0.08534523984
151	0.08476281415
152	0.08418400101
153	0.08362428316
154	0.08287154174
155	0.08230014163
156	0.08165574905
157	0.08098454096
158	0.08030860235
159	0.07967677591
160	0.07909395076
161	0.07872282768
162	0.07839245538
